model_name,data,epochs,mse_train,mse_test,mae_train,mae_test,loss_epoch_1,loss_epoch_2,loss_epoch_3,loss_epoch_4,loss_epoch_5,loss_epoch_6,loss_epoch_7,loss_epoch_8,loss_epoch_9,loss_epoch_10,loss_epoch_11,loss_epoch_12,loss_epoch_13,loss_epoch_14,loss_epoch_15,loss_epoch_16,loss_epoch_17,loss_epoch_18,loss_epoch_19,loss_epoch_20,loss_epoch_21,loss_epoch_22,loss_epoch_23,loss_epoch_24,loss_epoch_25,loss_epoch_26,loss_epoch_27,loss_epoch_28,loss_epoch_29,loss_epoch_30,loss_epoch_31,loss_epoch_32,loss_epoch_33,loss_epoch_34,loss_epoch_35,loss_epoch_36,loss_epoch_37,loss_epoch_38,loss_epoch_39,loss_epoch_40,loss_epoch_41,loss_epoch_42,loss_epoch_43,loss_epoch_44,loss_epoch_45,loss_epoch_46,loss_epoch_47,loss_epoch_48,loss_epoch_49,loss_epoch_50,Reps,FeatureMap,Ansatze
QLSTM,data/custom_created_pattern.csv,15,0.0282638426870107,0.1374102085828781,0.117726519703865,0.2764499187469482,0.1024056397951566,0.0757112871282375,0.0605771514909485,0.0455460258258076,0.0395167883879576,0.0369307285694118,0.0330137409216079,0.0320656434632837,0.0317962143588094,0.0306727412658242,0.0305045969837989,0.0300517817600988,0.0295602785817419,0.0296634137630462,0.0290072576921934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,my_own,my_own
QLSTM,data/data_damped_oscillator.csv,30,0.0001963891263585,4.586155409924686e-05,0.0113721927627921,0.0057244473136961,0.0547059692728977,0.0179414717892471,0.0064786569430277,0.0019597124415808,0.0009656999475107,0.0006052647368051,0.0004719735555297,0.0004304181985879,0.000377127453528,0.000346412629789,0.0003131816685289,0.0002966245486347,0.0002816199736956,0.0002700007244129,0.0002608036475766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,paper_3,paper_3
QLSTM,data/data_damped_oscillator.csv,30,0.000352223200025,6.476353883044794e-05,0.0141144059598445,0.0060782339423894,0.0951476429517452,0.0546909540605086,0.0383192226290702,0.0212815872286088,0.0077730398625135,0.0026878142872681,0.001242848601228,0.0010863951196929,0.0009171458782825,0.0008648165043828,0.0008321390134649,0.0007774600705418,0.0007358490139057,0.0007018728429102,0.000670594172194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,paper_3,paper_3
QLSTM,data/data_damped_oscillator.csv,30,0.0001406131486874,2.6257926947437227e-05,0.0089225247502326,0.0037130611017346,0.0973840129490082,0.0570495802049453,0.0397470622108532,0.0260109501675917,0.0168016927245144,0.0090854349367033,0.0041708479313036,0.0018864462819272,0.0013920149436811,0.0012009100016887,0.0010400507128976,0.0009590358128592,0.0008875520411843,0.0008127413132639,0.0007398407805549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,paper_3,paper_3
QLSTM,data/data_damped_oscillator.csv,30,6.041480082785711e-05,2.7959202270722017e-05,0.0064734029583632,0.0040685795247554,0.0603943286606898,0.0383728698898966,0.0217550152267974,0.0119012892425346,0.0052115568676247,0.0017760397078326,0.0009209266460787,0.0005767643765116,0.0004289337241341,0.000373054281786,0.0003298082038572,0.0002943897891852,0.0002663217976358,0.000242173533759,0.0002213056404098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,paper_3,paper_3
QLSTM,data/data_damped_oscillator.csv,30,0.0003252620517741,6.699688674416393e-05,0.0151784215122461,0.0072502638213336,0.0638643550471617,0.0404356859910946,0.0236528566322074,0.0094871875346423,0.0025159582129652,0.0009291914309589,0.0007057122028737,0.0005740280769084,0.0005199761855272,0.0005103574602309,0.0005033770497762,0.0004841068193155,0.0004668069416836,0.0004584159010286,0.0004563139205297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,paper_3,paper_3
QLSTM,data/data_damped_oscillator.csv,30,0.0002115860843332,4.077432822668925e-05,0.0123173706233501,0.0052559357136487,0.0640889724286703,0.0500319578613226,0.0313000024224703,0.0150225636226913,0.0053936308518481,0.0012179929340513,0.0005344065430108,0.0004352221244167,0.0003379459146974,0.0002845826747943,0.0002809847288657,0.0002868401307541,0.0002849057306705,0.0002819019752608,0.0002821673333528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,paper_3,paper_3
QLSTM,data/data_damped_oscillator.csv,15,0.0630785301327705,0.0288058705627918,0.2232851982116699,0.1520438939332962,0.0638842433691024,0.0617566921103459,0.0614966447823322,0.0614161573063868,0.0613426824028675,0.0613634392905693,0.0613708468870474,0.0613652354536148,0.0613632581841487,0.0613648864225699,0.06136520479161,0.0613646740810229,0.0613644866702648,0.0613644535724933,0.0613642895164398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,paper_2,paper_2
QLSTM,data/data_damped_oscillator.csv,15,0.0002340031642233,4.416779120219872e-05,0.0128436330705881,0.0058683399111032,0.0582983099783842,0.0291930264435135,0.0095819148499196,0.0029190100120523,0.0005480973864345,0.0004108659248651,0.0003646260139738,0.0002492447646755,0.0002481945921317,0.0002465868677133,0.0002359610180764,0.0002381621052336,0.000247651313727,0.0002569679194353,0.0002669215867242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,paper_3,paper_3
QLSTM,data/data_damped_oscillator.csv,15,0.0002003430854529,8.452469046460465e-05,0.0100087672472,0.0075818258337676,0.1079078908436573,0.0642693042755127,0.0607752130868343,0.0565444205242853,0.047317815801272,0.0344212872620958,0.0225792381769189,0.0133188370830164,0.0072046935809059,0.0034554718205562,0.0015182185071842,0.0007623099316753,0.0005653532162586,0.000477993509356,0.0004189422971439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,paper_1,paper_1
